NVasv4_Type1,NVasv4 Type1,Consumption,10.406,,japaneast
NVasv4_Type1,NVasv4 Type1,Reservation,107877,3 Years,southeastasia
NVasv4_Type1,NVasv4 Type1,Reservation,50292,1 Year,westeurope
NVasv4_Type1,NVasv4 Type1,Reservation,58339,1 Year,japaneast
NVasv4_Type1,NVasv4 Type1,Reservation,116175,3 Years,centralindia
NVasv4_Type1,NVasv4 Type1,Consumption,7.176,,eastus2
NVasv4_Type1,NVasv4 Type1,Reservation,82982,3 Years,eastus2
NVasv4_Type1,NVasv4 Type1,Reservation,40234,1 Year,eastus2
NVasv4_Type1,NVasv4 Type1,Consumption,8.612,,northeurope
NVasv4_Type1,NVasv4 Type1,Reservation,48281,1 Year,northeurope
NVasv4_Type1,NVasv4 Type1,Consumption,8.97,,uksouth
NVasv4_Type1,NVasv4 Type1,Reservation,82982,3 Years,eastus
NVasv4_Type1,NVasv4 Type1,Reservation,48281,1 Year,northcentralus
NVasv4_Type1,NVasv4 Type1,Consumption,7.176,,eastus
NVasv4_Type1,NVasv4 Type1,Consumption,8.612,,northcentralus
NVasv4_Type1,NVasv4 Type1,Reservation,50292,1 Year,uksouth
NVasv4_Type1,NVasv4 Type1,Reservation,103728,3 Years,uksouth
NVasv4_Type1,NVasv4 Type1,Reservation,99579,3 Years,northcentralus
NVasv4_Type1,NVasv4 Type1,Reservation,58339,1 Year,australiaeast
NVasv4_Type1,NVasv4 Type1,Reservation,52304,1 Year,southeastasia
NVasv4_Type1,NVasv4 Type1,Consumption,9.329,,southeastasia
NVasv4_Type1,NVasv4 Type1,Consumption,10.406,,australiaeast
NVasv4_Type1,NVasv4 Type1,Reservation,120324,3 Years,australiaeast
NVasv4_Type1,NVasv4 Type1,Reservation,40234,1 Year,eastus
NVasv4_Type1,NVasv4 Type1,Consumption,8.97,,westeurope
NVasv4_Type1,NVasv4 Type1,Consumption,10.047,,centralindia
NVasv4_Type1,NVasv4 Type1,Reservation,50292,1 Year,usgovvirginia
NVasv4_Type1,NVasv4 Type1,Consumption,7.176,,westus2
