"name","numberOfCores","osDiskSizeInMB","resourceDiskSizeInMB","memoryInMB","maxDataDiskCount"
"Standard_DS4_v2","8","1047552","57344","28672","32"
"Standard_DS5_v2","16","1047552","114688","57344","64"
"Standard_DS11-1_v2","2","1047552","28672","14336","8"
"Standard_DS11_v2","2","1047552","28672","14336","8"
"Standard_DS12-1_v2","4","1047552","57344","28672","16"
"Standard_DS12-2_v2","4","1047552","57344","28672","16"
"Standard_DS12_v2","4","1047552","57344","28672","16"
"Standard_DS13-2_v2","8","1047552","114688","57344","32"
"Standard_DS13-4_v2","8","1047552","114688","57344","32"
"Standard_DS13_v2","8","1047552","114688","57344","32"
"Standard_DS14-4_v2","16","1047552","229376","114688","64"
"Standard_DS14-8_v2","16","1047552","229376","114688","64"
"Standard_DS14_v2","16","1047552","229376","114688","64"
"Standard_DS15_v2","20","1047552","286720","143360","64"
"Standard_DS2_v2_Promo","2","1047552","14336","7168","8"
"Standard_DS3_v2_Promo","4","1047552","28672","14336","16"
"Standard_DS4_v2_Promo","8","1047552","57344","28672","32"
"Standard_DS5_v2_Promo","16","1047552","114688","57344","64"
"Standard_DS11_v2_Promo","2","1047552","28672","14336","8"
"Standard_DS12_v2_Promo","4","1047552","57344","28672","16"
"Standard_DS13_v2_Promo","8","1047552","114688","57344","32"
"Standard_DS14_v2_Promo","16","1047552","229376","114688","64"
"Standard_F1s","1","1047552","4096","2048","4"
"Standard_F2s","2","1047552","8192","4096","8"
"Standard_F4s","4","1047552","16384","8192","16"
"Standard_F8s","8","1047552","32768","16384","32"
"Standard_F16s","16","1047552","65536","32768","64"
"Standard_A1_v2","1","1047552","10240","2048","2"
"Standard_A2m_v2","2","1047552","20480","16384","4"
"Standard_A2_v2","2","1047552","20480","4096","4"
"Standard_A4m_v2","4","1047552","40960","32768","8"
"Standard_A4_v2","4","1047552","40960","8192","8"
"Standard_A8m_v2","8","1047552","81920","65536","16"
"Standard_A8_v2","8","1047552","81920","16384","16"
"Standard_D2_v3","2","1047552","51200","8192","4"
"Standard_D4_v3","4","1047552","102400","16384","8"
"Standard_D8_v3","8","1047552","204800","32768","16"
"Standard_D16_v3","16","1047552","409600","65536","32"
"Standard_D32_v3","32","1047552","819200","131072","32"
"Standard_D48_v3","48","1047552","1228800","196608","32"
"Standard_D64_v3","64","1047552","1638400","262144","32"
"Standard_D2s_v3","2","1047552","16384","8192","4"
"Standard_D4s_v3","4","1047552","32768","16384","8"
"Standard_D8s_v3","8","1047552","65536","32768","16"
"Standard_D16s_v3","16","1047552","131072","65536","32"
"Standard_D32s_v3","32","1047552","262144","131072","32"
"Standard_D48s_v3","48","1047552","393216","196608","32"
"Standard_D64s_v3","64","1047552","524288","262144","32"
"Standard_E2_v3","2","1047552","51200","16384","4"
"Standard_E4_v3","4","1047552","102400","32768","8"
"Standard_E8_v3","8","1047552","204800","65536","16"
"Standard_E16_v3","16","1047552","409600","131072","32"
"Standard_E20_v3","20","1047552","512000","163840","32"
"Standard_E32_v3","32","1047552","819200","262144","32"
"Standard_E48_v3","48","1047552","1228800","393216","32"
"Standard_E64_v3","64","1047552","1638400","442368","32"
"Standard_E2s_v3","2","1047552","32768","16384","4"
"Standard_E4-2s_v3","4","1047552","65536","32768","8"
"Standard_E4s_v3","4","1047552","65536","32768","8"
"Standard_E8-2s_v3","8","1047552","131072","65536","16"
"Standard_E8-4s_v3","8","1047552","131072","65536","16"
"Standard_E8s_v3","8","1047552","131072","65536","16"
"Standard_E16-4s_v3","16","1047552","262144","131072","32"
"Standard_E16-8s_v3","16","1047552","262144","131072","32"
"Standard_E16s_v3","16","1047552","262144","131072","32"
"Standard_E20s_v3","20","1047552","327680","163840","32"
"Standard_E32-8s_v3","32","1047552","524288","262144","32"
"Standard_E32-16s_v3","32","1047552","524288","262144","32"
"Standard_E32s_v3","32","1047552","524288","262144","32"
"Standard_E48s_v3","48","1047552","786432","393216","32"
"Standard_E64-16s_v3","64","1047552","884736","442368","32"
"Standard_E64-32s_v3","64","1047552","884736","442368","32"
"Standard_E64s_v3","64","1047552","884736","442368","32"
"Standard_F2s_v2","2","1047552","16384","4096","4"
"Standard_F4s_v2","4","1047552","32768","8192","8"
"Standard_F8s_v2","8","1047552","65536","16384","16"
"Standard_F16s_v2","16","1047552","131072","32768","32"
"Standard_F32s_v2","32","1047552","262144","65536","32"
"Standard_F48s_v2","48","1047552","393216","98304","32"
"Standard_F64s_v2","64","1047552","524288","131072","32"
"Standard_F72s_v2","72","1047552","589824","147456","32"
"Standard_NV6ads_A10_v5","6","1047552","184320","56320","4"
"Standard_NV12ads_A10_v5","12","1047552","368640","112640","8"
"Standard_NV18ads_A10_v5","18","1047552","737280","225280","16"
"Standard_NV36adms_A10_v5","36","1047552","2949120","901120","32"
"Standard_NV36ads_A10_v5","36","1047552","1474560","450560","32"
"Standard_NV72ads_A10_v5","72","1047552","2949120","901120","32"
"Standard_DC2as_v5","2","1047552","0","8192","4"
"Standard_DC4as_v5","4","1047552","0","16384","8"
"Standard_DC8as_v5","8","1047552","0","32768","16"
"Standard_DC16as_v5","16","1047552","0","65536","32"
"Standard_DC32as_v5","32","1047552","0","131072","32"
"Standard_DC48as_v5","48","1047552","0","196608","32"
"Standard_DC64as_v5","64","1047552","0","262144","32"
"Standard_DC96as_v5","96","1047552","0","393216","32"
"Standard_DC2ads_v5","2","1047552","76800","8192","4"
"Standard_DC4ads_v5","4","1047552","153600","16384","8"
"Standard_DC8ads_v5","8","1047552","307200","32768","16"
"Standard_DC16ads_v5","16","1047552","614400","65536","32"
"Standard_DC32ads_v5","32","1047552","1228800","131072","32"
"Standard_DC48ads_v5","48","1047552","1843200","196608","32"
"Standard_DC64ads_v5","64","1047552","2457600","262144","32"
"Standard_DC96ads_v5","96","1047552","3686400","393216","32"
"Standard_EC2as_v5","2","1047552","0","16384","4"
"Standard_EC4as_v5","4","1047552","0","32768","8"
"Standard_EC8as_v5","8","1047552","0","65536","16"
"Standard_EC16as_v5","16","1047552","0","131072","32"
"Standard_EC20as_v5","20","1047552","0","163840","32"
"Standard_EC32as_v5","32","1047552","0","196608","32"
"Standard_EC48as_v5","48","1047552","0","393216","32"
"Standard_EC64as_v5","64","1047552","0","524288","32"
"Standard_EC96as_v5","96","1047552","0","688128","32"
"Standard_EC96ias_v5","96","1047552","0","688128","32"
"Standard_EC2ads_v5","2","1047552","76800","16384","4"
"Standard_EC4ads_v5","4","1047552","153600","32768","8"
"Standard_EC8ads_v5","8","1047552","307200","65536","16"
"Standard_EC16ads_v5","16","1047552","614400","131072","32"
"Standard_EC20ads_v5","20","1047552","768000","163840","32"
"Standard_EC32ads_v5","32","1047552","1228800","196608","32"
"Standard_EC48ads_v5","48","1047552","1843200","393216","32"
"Standard_EC64ads_v5","64","1047552","2457600","524288","32"
"Standard_EC96ads_v5","96","1047552","3686400","688128","32"
"Standard_EC96iads_v5","96","1047552","3686400","688128","32"
"Standard_DC4as_cc_v5","4","1047552","0","16384","8"
"Standard_DC8as_cc_v5","8","1047552","0","32768","16"
"Standard_DC16as_cc_v5","16","1047552","0","65536","32"
